LATITUDE;LONGITUDE;CIDADE;ÂNGULO;MWH
-20,8521352;-41,175078;Cachoeiro de Itapemirim;165,000;24,67492505
-20,8521352;-41,175078;Cachoeiro de Itapemirim;170,000;24,62684415
-20,8521352;-41,175078;Cachoeiro de Itapemirim;175,000;24,60138956
-20,8521352;-41,175078;Cachoeiro de Itapemirim;180,000;24,59856128
-20,4810434;-54,775965;Campo Grande;0,000;32,833
-20,4810434;-54,775965;Campo Grande;5,000;32,8206163
-20,4810434;-54,775965;Campo Grande;10,000;32,78822816
-20,4810434;-54,775965;Campo Grande;15,000;32,73107262
-20,4810434;-54,775965;Campo Grande;20,000;32,65105486
-20,4810434;-54,775965;Campo Grande;25,000;32,54817489
-20,4810434;-54,775965;Campo Grande;30,000;32,43005344
-20,4810434;-54,775965;Campo Grande;35,000;32,30050088
-20,4810434;-54,775965;Campo Grande;40,000;32,15761203
-20,4810434;-54,775965;Campo Grande;45,000;31,99852911
-20,4810434;-54,775965;Campo Grande;50,000;31,8261099
-20,4810434;-54,775965;Campo Grande;55,000;31,6403544
-20,4810434;-54,775965;Campo Grande;60,000;31,4412626
-20,4810434;-54,775965;Campo Grande;65,000;31,22883451
-20,4810434;-54,775965;Campo Grande;70,000;31,00783309
-20,4810434;-54,775965;Campo Grande;75,000;30,7820687
-20,4810434;-54,775965;Campo Grande;80,000;30,55344654
-20,4810434;-54,775965;Campo Grande;85,000;30,32196661
-20,4810434;-54,775965;Campo Grande;90,000;30,08762889
-20,4810434;-54,775965;Campo Grande;95,000;29,85138599
-20,4810434;-54,775965;Campo Grande;100,000;29,61514309
-20,4810434;-54,775965;Campo Grande;105,000;29,37985279
-20,4810434;-54,775965;Campo Grande;110,000;29,14837285
-20,4810434;-54,775965;Campo Grande;115,000;28,92165587
-20,4810434;-54,775965;Campo Grande;120,000;28,70160704
-20,4810434;-54,775965;Campo Grande;125,000;28,49013155
-20,4810434;-54,775965;Campo Grande;130,000;28,28722938
-20,4810434;-54,775965;Campo Grande;135,000;28,09671091
-20,4810434;-54,775965;Campo Grande;140,000;27,91952874
-20,4810434;-54,775965;Campo Grande;145,000;27,75949323
-20,4810434;-54,775965;Campo Grande;150,000;27,61850956
-20,4810434;-54,775965;Campo Grande;155,000;27,49753033
-20,4810434;-54,775965;Campo Grande;160,000;27,39655555
-20,4810434;-54,775965;Campo Grande;165,000;27,3155852
-20,4810434;-54,775965;Campo Grande;170,000;27,26319262
-20,4810434;-54,775965;Campo Grande;175,000;27,241283
-20,4810434;-54,775965;Campo Grande;180,000;27,24509336
-24,9637543;-53,542564;Cascavel;0,000;31,221
-24,9637543;-53,542564;Cascavel;5,000;31,18951568
-24,9637543;-53,542564;Cascavel;10,000;31,13894994
-24,9637543;-53,542564;Cascavel;15,000;31,06930281
-24,9637543;-53,542564;Cascavel;20,000;30,97580391
-24,9637543;-53,542564;Cascavel;25,000;30,85749917
-24,9637543;-53,542564;Cascavel;30,000;30,72392932
-24,9637543;-53,542564;Cascavel;35,000;30,5760484
-24,9637543;-53,542564;Cascavel;40,000;30,41862679
-24,9637543;-53,542564;Cascavel;45,000;30,24689411
-24,9637543;-53,542564;Cascavel;50,000;30,05894224
-24,9637543;-53,542564;Cascavel;55,000;29,85667932
-24,9637543;-53,542564;Cascavel;60,000;29,64201348
-24,9637543;-53,542564;Cascavel;65,000;29,41685286
-24,9637543;-53,542564;Cascavel;70,000;29,18596782
-24,9637543;-53,542564;Cascavel;75,000;28,95317464
-24,9637543;-53,542564;Cascavel;80,000;28,71751925
-24,9637543;-53,542564;Cascavel;85,000;28,47995572
-24,9637543;-53,542564;Cascavel;90,000;28,24143812
-24,9637543;-53,542564;Cascavel;95,000;28,00292052
-24,9637543;-53,542564;Cascavel;100,000;27,76535699
-24,9637543;-53,542564;Cascavel;105,000;27,53065567
-24,9637543;-53,542564;Cascavel;110,000;27,29977063
-24,9637543;-53,542564;Cascavel;115,000;27,07651815
-24,9637543;-53,542564;Cascavel;120,000;26,86185231
-24,9637543;-53,542564;Cascavel;125,000;26,65672717
-24,9637543;-53,542564;Cascavel;130,000;26,46114274
-24,9637543;-53,542564;Cascavel;135,000;26,27986936
-24,9637543;-53,542564;Cascavel;140,000;26,11576925
-24,9637543;-53,542564;Cascavel;145,000;25,97170462
-24,9637543;-53,542564;Cascavel;150,000;25,85053768
-24,9637543;-53,542564;Cascavel;155,000;25,74940622
-24,9637543;-53,542564;Cascavel;160,000;25,6692643
-24,9637543;-53,542564;Cascavel;165,000;25,61011194
-24,9637543;-53,542564;Cascavel;170,000;25,57194912
-24,9637543;-53,542564;Cascavel;175,000;25,55668399
-24,9637543;-53,542564;Cascavel;180,000;25,56908691
-13,6582185;-59,82911;Comodoro;0,000;32,167
-13,6582185;-59,82911;Comodoro;5,000;32,134635
-13,6582185;-59,82911;Comodoro;10,000;32,08799133
-13,6582185;-59,82911;Comodoro;15,000;32,02706898
-13,6582185;-59,82911;Comodoro;20,000;31,95091605
-13,6582185;-59,82911;Comodoro;25,000;31,86524399
-13,6582185;-59,82911;Comodoro;30,000;31,77005282
-13,6582185;-59,82911;Comodoro;35,000;31,6624868
-13,6582185;-59,82911;Comodoro;40,000;31,54254593
-13,6582185;-59,82911;Comodoro;45,000;31,41118211
-13,6582185;-59,82911;Comodoro;50,000;31,26934727
-13,6582185;-59,82911;Comodoro;55,000;31,11608949
-13,6582185;-59,82911;Comodoro;60,000;30,95902406
-13,6582185;-59,82911;Comodoro;65,000;30,80195863
-13,6582185;-59,82911;Comodoro;70,000;30,64965276
-13,6582185;-59,82911;Comodoro;75,000;30,49925071
-13,6582185;-59,82911;Comodoro;80,000;30,34980057
-13,6582185;-59,82911;Comodoro;85,000;30,19844661
-13,6582185;-59,82911;Comodoro;90,000;30,04614074
-13,6582185;-59,82911;Comodoro;95,000;29,89193105
-13,6582185;-59,82911;Comodoro;100,000;29,73581753
-13,6582185;-59,82911;Comodoro;105,000;29,5787521
-13,6582185;-59,82911;Comodoro;110,000;29,42359049
-13,6582185;-59,82911;Comodoro;115,000;29,27223654
-13,6582185;-59,82911;Comodoro;120,000;29,12659405
-13,6582185;-59,82911;Comodoro;125,000;28,99047067
-13,6582185;-59,82911;Comodoro;130,000;28,86577024
-13,6582185;-59,82911;Comodoro;135,000;28,75534848
-13,6582185;-59,82911;Comodoro;140,000;28,6592054
-13,6582185;-59,82911;Comodoro;145,000;28,57448526
-13,6582185;-59,82911;Comodoro;150,000;28,5040438
-13,6582185;-59,82911;Comodoro;155,000;28,4469291
-13,6582185;-59,82911;Comodoro;160,000;28,40218925
-13,6582185;-59,82911;Comodoro;165,000;28,37077616
-13,6582185;-59,82911;Comodoro;170,000;28,35459366
-13,6582185;-59,82911;Comodoro;170,000;28,35459366
-13,6582185;-59,82911;Comodoro;180,000;28,36887234
-18,1878123;-55,253195;Coxim;0,000;32,425
-18,1878123;-55,253195;Coxim;0,000;32,425
-18,1878123;-55,253195;Coxim;10,000;32,40413632
-18,1878123;-55,253195;Coxim;15,000;32,36240897
-18,1878123;-55,253195;Coxim;20,000;32,29981793
-18,1878123;-55,253195;Coxim;25,000;32,21825992
-18,1878123;-55,253195;Coxim;30,000;32,12342502
-18,1878123;-55,253195;Coxim;35,000;32,01720994
-18,1878123;-55,253195;Coxim;40,000;31,90056301
-18,1878123;-55,253195;Coxim;45,000;31,7706392
-18,1878123;-55,253195;Coxim;50,000;31,62838686
-18,1878123;-55,253195;Coxim;55,000;31,47285762
-18,1878123;-55,253195;Coxim;60,000;31,3040515
-18,1878123;-55,253195;Coxim;65,000;31,12102015
-18,1878123;-55,253195;Coxim;70,000;30,92755696
-18,1878123;-55,253195;Coxim;75,000;30,72650698
-18,1878123;-55,253195;Coxim;80,000;30,5216636
-18,1878123;-55,253195;Coxim;85,000;30,31397517
-18,1878123;-55,253195;Coxim;90,000;30,1034417
-18,1878123;-55,253195;Coxim;95,000;29,89006317
-18,1878123;-55,253195;Coxim;100,000;29,6757363
-18,1878123;-55,253195;Coxim;105,000;29,46235778
-18,1878123;-55,253195;Coxim;110,000;29,25182431
-18,1878123;-55,253195;Coxim;115,000;29,04413588
-18,1878123;-55,253195;Coxim;120,000;28,84213755
-18,1878123;-55,253195;Coxim;125,000;28,64772601
-18,1878123;-55,253195;Coxim;130,000;28,46279796
-18,1878123;-55,253195;Coxim;135,000;28,28830175
-18,1878123;-55,253195;Coxim;140,000;28,12518572
-18,1878123;-55,253195;Coxim;145,000;27,97534658
-18,1878123;-55,253195;Coxim;150,000;27,84162938
-18,1878123;-55,253195;Coxim;155,000;27,7240341
-18,1878123;-55,253195;Coxim;160,000;27,62350911
-18,1878123;-55,253195;Coxim;165,000;27,54289945
-18,1878123;-55,253195;Coxim;170,000;27,48505016
-18,1878123;-55,253195;Coxim;175,000;27,45375464
-18,1878123;-55,253195;Coxim;180,000;27,4471162
-15,4191704;-56,456297;Cuiaba;0,000;31,706
-15,4191704;-56,456297;Cuiaba;5,000;31,69086406
-15,4191704;-56,456297;Cuiaba;10,000;31,6587002
-15,4191704;-56,456297;Cuiaba;15,000;31,61140041
-15,4191704;-56,456297;Cuiaba;20,000;31,54896467
-15,4191704;-56,456297;Cuiaba;25,000;31,47423099
-15,4191704;-56,456297;Cuiaba;30,000;31,38909136
-15,4191704;-56,456297;Cuiaba;35,000;31,29449177
-15,4191704;-56,456297;Cuiaba;40,000;31,19137821
-15,4191704;-56,456297;Cuiaba;45,000;31,07785869
-15,4191704;-56,456297;Cuiaba;50,000;30,95298723
-15,4191704;-56,456297;Cuiaba;55,000;30,81676381
-15,4191704;-56,456297;Cuiaba;60,000;30,66918845
-15,4191704;-56,456297;Cuiaba;65,000;30,50931513
-15,4191704;-56,456297;Cuiaba;70,000;30,34281985
-15,4191704;-56,456297;Cuiaba;75,000;30,17064859
-15,4191704;-56,456297;Cuiaba;80,000;29,99753133
-15,4191704;-56,456297;Cuiaba;85,000;29,82441407
-15,4191704;-56,456297;Cuiaba;90,000;29,64940482
-15,4191704;-56,456297;Cuiaba;95,000;29,47344958
-15,4191704;-56,456297;Cuiaba;100,000;29,29654834
-15,4191704;-56,456297;Cuiaba;105,000;29,12153909
-15,4191704;-56,456297;Cuiaba;110,000;28,94842183
-15,4191704;-56,456297;Cuiaba;115,000;28,77908855
-15,4191704;-56,456297;Cuiaba;120,000;28,61448526
-15,4191704;-56,456297;Cuiaba;125,000;28,45839593
-15,4191704;-56,456297;Cuiaba;130,000;28,30987457
-15,4191704;-56,456297;Cuiaba;135,000;28,17175916
-15,4191704;-56,456297;Cuiaba;140,000;28,04404971
-15,4191704;-56,456297;Cuiaba;145,000;27,9286382
-15,4191704;-56,456297;Cuiaba;150,000;27,82457865
-15,4191704;-56,456297;Cuiaba;155,000;27,73470903
-15,4191704;-56,456297;Cuiaba;160,000;27,65997536
-15,4191704;-56,456297;Cuiaba;165,000;27,60132361
-15,4191704;-56,456297;Cuiaba;170,000;27,56064578
-15,4191704;-56,456297;Cuiaba;175,000;27,53888787
-15,4191704;-56,456297;Cuiaba;180,000;27,53699588
-22,2312801;-54,86489;Dourados;0,000;32,046
-22,2312801;-54,86489;Dourados;5,000;32,02510766
-22,2312801;-54,86489;Dourados;10,000;31,98332298
-22,2312801;-54,86489;Dourados;15,000;31,91779701
-22,2312801;-54,86489;Dourados;20,000;31,83042904
-22,2312801;-54,86489;Dourados;25,000;31,72121908
-22,2312801;-54,86489;Dourados;30,000;31,5968147
-22,2312801;-54,86489;Dourados;35,000;31,46196414
-22,2312801;-54,86489;Dourados;40,000;31,31381846
-22,2312801;-54,86489;Dourados;45,000;31,151428
-22,2312801;-54,86489;Dourados;50,000;30,97384312
-22,2312801;-54,86489;Dourados;55,000;30,78296311
-22,2312801;-54,86489;Dourados;60,000;30,57878797
-22,2312801;-54,86489;Dourados;65,000;30,36511631
-22,2312801;-54,86489;Dourados;70,000;30,1447971
-22,2312801;-54,86489;Dourados;75,000;29,92162892
-22,2312801;-54,86489;Dourados;80,000;29,69561179
-22,2312801;-54,86489;Dourados;85,000;29,46674571
-22,2312801;-54,86489;Dourados;90,000;29,23408102
-22,2312801;-54,86489;Dourados;95,000;29,00046668
-22,2312801;-54,86489;Dourados;100,000;28,76875164
-22,2312801;-54,86489;Dourados;105,000;28,5389359
-22,2312801;-54,86489;Dourados;110,000;28,31386842
-22,2312801;-54,86489;Dourados;115,000;28,09544851
